geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
hrv,Croatia,,,,,,16568.29122,17820.70466,19098.65679,19874.28393,19236.42674,19960.30593,21316.05327,22729.1275,23832.24638,25486.88082,26395.82966,27816.61047,29466.27556,29908.09164,27947.1257,27737.213,27890.45154,27303.56592,27833.42548,28054.52538,29497.05123,30538.2312,32612.48316,33861.42611,35680.74544,33403.0907,36748.6672,38499.7615,40859.19454,43183.1391
hti,Haiti,3315.26384,3358.1988,3158.00789,2809.07689,2567.29293,2833.47631,2996.18346,3057.69809,3041.09242,3221.46269,3331.45816,3211.50557,3191.31177,3062.86805,3036.98281,2994.82688,3103.95291,3116.65691,3177.30467,3402.39676,3097.32427,3107.80049,3090.24547,3268.28714,3235.52206,3328.78524,3473.95482,3560.35084,3505.27123,3469.69266,3228.38223,3148.52266,3134.05492,3110.84956,2994.96075
hun,Hungary,,,,,,,,,,20619.39401,21437.2937,22486.27182,23898.48868,24939.3911,26121.56442,26968.32712,27813.84227,27622.7556,28061.4935,26963.95565,27223.05479,27512.20151,27245.79833,28376.62191,29352.17191,30543.90365,32216.83604,33005.20486,34687.17245,37062.33434,36198.48803,37727.27193,37661.41608,38009.54715,37897.98936
idn,Indonesia,,,,,,,,,,,,,,,,,,,,,8661.7161,9114.03552,9410.79829,9701.83627,10068.14137,10472.81872,10931.93859,11373.12092,11745.95803,12128.97487,11872.16632,12410.73656,13026.13448,13318.24282,13851.49108
ind,India,2180.95233,2155.87234,2227.24412,2287.9531,2392.07585,2521.9862,2661.40046,2720.10384,2832.93669,3024.96047,3074.50958,3167.31024,3232.50766,3426.36971,3635.32957,3859.05056,4102.84549,4366.72745,4429.62966,4709.10028,5010.54913,5209.37915,5402.43191,5667.20999,6014.7551,6418.53447,6866.99915,7253.63531,7639.08646,7861.80117,7299.38212,7955.24698,8484.24012,9182.70345,9686.16186
irl,Ireland,,,,,,32443.77452,34478.63309,37271.59923,40297.10975,42724.41295,46433.34987,47707.26376,48737.50657,50556.6607,51398.64603,53687.31048,55371.99084,55529.38091,51999.96613,47508.17032,48053.60377,47751.54626,47481.16412,50404.7904,54320.7471,66025.13029,68581.54479,71574.64736,72641.87998,74993.88699,76165.59753,83553.08554,84942.76923,86356.04802,88655.9085
irn,Iran,10215.96292,10700.84645,10753.99751,13371.39561,13159.32508,12682.06016,13226.01375,12705.53098,11548.55287,13229.63165,13514.45926,13846.85348,15845.26588,16784.0065,17582.28949,18901.70689,19569.4288,21524.02064,21213.93413,20412.64298,21868.18526,22453.93243,19093.47482,18061.73437,17966.58678,15930.22591,17129.85833,17811.51472,16105.1461,14019.08518,13811.53346,15880.21481,16493.62317,16174.43874,16076.52621
irq,Iraq,,,,,,,,,,,,,,,,,,11827.05907,13962.30976,10916.95105,12323.18768,14470.4419,15349.55316,15204.45494,13947.32581,9624.38431,10766.32964,11447.62193,12836.41733,12974.47492,9300.35469,12606.42265,15601.3119,12690.85917,12009.75477
isl,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61705.39916,,,
isr,Israel,23550.87252,24522.37279,25491.25803,25891.09278,27022.25372,27978.04053,29123.13228,29650.20945,30418.43628,30601.96507,31494.87798,31562.08973,30958.91398,30558.26385,31255.57778,32473.08013,33736.40443,35072.38358,34652.65998,34905.53271,36044.3908,37088.92383,37203.85067,38285.16547,39513.26001,40303.20253,41556.15504,42605.52694,43288.70732,44300.66811,42652.72834,45798.52295,48036.92135,46720.54,46940.03768
